Frame,Man0,RF0,NB0,Man5,RF5,NB5,RF5_0min,Man10,RF10,NB10,RF10_0min,Man15,RF15,NB15,RF15_0min
1,422633,440575,607354,418266,403155,627671,498027,501758,530751,907233,506021,459099,481222,968057,538439
2,424957,433775,584949,417062,395278,640786,481362,502558,480801,898237,517161,461038,388075,860345,547478
3,424932,439710,578378,419940,400699,655066,484044,501376,480449,837798,512856,475563,384072,962865,557826
4,426648,437179,578076,422278,407724,635950,508905,500153,481314,893622,504304,487058,381586,943592,473625
5,423749,435963,576387,418311,398235,641879,507209,503001,480753,857801,507641,486345,378746,932946,558608
6,422935,438701,570635,420344,406530,639020,501652,501570,485585,895898,507487,486068,380061,941247,602159
7,423688,433627,576758,421812,411972,638182,507233,505150,490035,914151,512993,488075,396252,930847,570008
8,420910,430464,579196,419863,402289,653949,505101,502948,478435,840879,509762,493536,372010,929359,527377
9,426141,437797,582990,418849,401806,641657,490130,503279,486379,874472,508262,490082,384396,898065,562131
10,423918,436832,581720,417159,402152,627177,502420,501190,480549,855382,511136,492541,383372,961038,556882
11,428561,438122,575978,418873,407477,634927,490293,501904,482035,887533,508104,485673,382954,967806,625647
12,430592,435744,557224,421274,401508,625709,498304,504376,486900,860773,513082,491267,385277,927028,617597
13,430378,430958,552968,422363,405126,632177,499071,503205,477715,906877,508576,490132,383980,945984,625742
14,458380,423791,535205,423142,404399,646796,504863,501579,485708,897968,514020,493590,391313,935492,641342
15,455702,421637,532689,417913,401730,647533,479828,501679,481586,899115,508040,492416,388009,963716,617793
16,452287,429675,492573,420765,403889,642501,483699,506030,482056,856777,513551,490470,380414,987268,573325
17,445291,436759,481824,422408,401763,644908,501385,500036,480047,911562,513585,486105,374398,953315,609896
18,471952,446914,466208,423866,407356,640613,487800,498983,485795,857858,507322,495485,385544,940208,615978
19,462929,432438,452002,423654,406122,642604,489273,502798,481053,848012,508694,492458,382237,951814,608602
20,464321,524687,452166,424145,407011,634563,507682,498961,484186,865334,509229,493717,390791,1009158,639577
21,469439,428737,467476,419818,406270,635000,504164,500344,483623,853017,508493,487206,372889,925595,627868
22,449532,423706,510070,420469,400646,643807,501872,498911,476794,914000,506320,494264,368679,971535,614774
23,457076,428260,530724,420741,400134,635034,502742,498260,483292,843157,506951,491618,375092,941076,613769
24,462798,423680,529724,406291,398719,632818,493401,502728,485666,847924,512727,496236,377462,874319,618711
25,428323,428329,534393,403299,388581,624939,490584,501578,487536,913236,515678,490632,365329,937974,621256
26,431270,434798,547148,405072,411450,618695,480427,500545,481564,867477,505629,495274,375856,931275,645848
27,430630,432353,551794,422401,404616,613949,490689,501167,478292,894949,507345,496755,364069,940841,623006
28,434113,433815,556680,421604,399512,591772,457105,504405,483024,852518,509700,490260,379356,922414,649030
29,433120,433876,563494,420063,390948,563346,439676,504803,488588,834064,515719,489449,377099,944318,623772
30,432066,435482,566445,434055,457242,581184,442276,499724,484742,900136,509086,490308,374543,920385,616557
31,432995,432619,566620,431765,385055,575142,433093,502091,479073,898852,506753,490934,374320,926202,652010
32,430587,429762,566054,431550,379546,568000,407540,501452,478264,836980,506490,494356,374912,942704,619116
33,434409,429009,572094,433837,396095,595225,411112,500847,486558,893268,511570,492509,373340,933106,623842
34,434627,436483,573864,436043,406912,596570,471014,500746,478093,912068,507774,493785,366440,978740,623602
35,435789,434867,571542,431873,408065,619166,497292,501901,477560,908361,516633,496519,380479,952063,642202
36,432099,434259,573227,430326,398031,615156,473980,502279,479637,837564,524028,490949,368685,941610,627087
37,433452,436545,579242,430907,398034,617420,475061,477251,466042,933502,520847,496551,371227,942920,624126
38,433849,432085,573399,437491,388693,617828,487179,478906,461883,923264,518617,494847,373662,941941,619448
39,431735,435563,577580,432785,392709,606261,484950,494065,454337,842770,515164,493060,371585,932063,613726
40,436413,434027,579793,443106,390793,624360,490250,499574,468725,781220,521612,495869,370021,887612,613394
41,434354,437583,569415,441380,393416,625815,492456,539237,460274,796899,519153,497086,364038,939904,611689
42,437182,431839,580071,445793,405369,624257,500301,477269,456427,766400,511645,491062,381017,933985,625007
43,435806,430494,580360,445480,402605,628498,504432,465549,453025,679053,506079,487355,373154,921911,607348
44,434479,432598,575880,445456,396174,629242,494862,477673,457125,702473,543624,494169,374376,931178,649813
45,432698,435552,576636,448093,404078,637751,503542,533645,459011,718137,524661,493536,364063,943595,619451
46,433628,428034,561858,444847,401651,640250,486985,500406,465803,849097,520741,493465,375870,925871,623525
47,435333,436423,584733,443239,397009,628475,497394,474365,456295,804507,515972,487944,369483,936061,627649
48,430913,432887,578174,444842,399766,618749,495084,474224,458240,662811,521081,490684,379046,938911,608264
49,435460,429837,577656,446708,404331,637715,502287,472543,462623,666258,526341,493760,377612,1008261,618863
50,435634,435458,570066,445019,395240,630853,493807,471014,471740,859083,523099,493432,370155,930986,618389
